Category,Quote,Source
Healthful Environment,"On a scale of 1010 my health went from a 3 to an 8. When I returned to my doctor, they were in awe with the health changes that saw. We purchased our home for health reasons and are enjoying the energy savings reward as well.",ZERH Homeowner
Healthful Environment,"Not once in my home have I had to use my inhaler in the last year and 9 months. I have had to use it outside of my home, but in my home I have not had to use it once. Which is quite awesome.",ZERH Homeowner
Healthful Environment,"After living here for six months, I will say that I have bene very pleased in the air system. I have terrible allergies and I have been breathing better recently than I can remember in years!",ZERH Homeowner
Healthful Environment,"My 4 year old used to get sick all the time, and now he is a healthy active boy, no more trips to the hospital! Nothing beats living in a superior healthier home with the most efficient energy features.",ZERH Homeowner
Healthful Environment,"All surface finishes and composite materials, including glues and adhesives, meet zero or low-VOC requirements.",ZERH Builder
Healthful Environment,Our lives are healthier because of the great effort from the builders to eliminate or minimize harmful materials during construction.,ZERH Homeowner
Healthful Environment,"The air quality is fantastic in the house. Regardless of how much pollen is being sent into the air by the local trees, inside the house is always free from pollen. For those in the family with seasonal allergies, this is excellent news!",ZERH Homeowner
Healthful Environment,My customers smile when they tell me how low their utility bills are and how their homes do not have any dust.,ZERH Builder
Healthful Environment,"My wife had a lot of allergies, but since we moved into the property her allergy level has gone down.",ZERH Homeowner
Healthful Environment,"My 4 -year-old used to get sick all the time, and now he is a healthy active boy, no more trips to the hospital! Nothing beats living in a superior healthier home with the most efficient features. ",ZERH Homeowner
Healthful Environment,"The homes consume less, conserve more, and give home buyers the most comfortable and healthy living experience in the nation. The home is everything the buyer wants or needs and more. ",ZERH Builder
Healthful Environment,"We receive consistent feedback from our ZERH clients indicating how comfortable and quiet our homes are in addition to their appreciation of breathing clean, fresh air and the reduced ownership costs of low-maintenance, durable construction. ",ZERH Builder
Healthful Environment,It is remarkable. The quality of living for me personally just because of the air quality has really made a big difference in how I live. ,ZERH Homeowner
Quality Built,"According to the U.S. Department of Energy (DOE), every certified Zero Energy Ready Home features high-efficiency appliances and equipment that are often associated with better quality construction. In addition, overall quality is enhanced with rigorous inspections, diagnostics, and checklists enforced by independent verifiers.",US Department of Energy
Quality Built,"We have lived in the home for two years now and couldn't be happier with the quality of construction, the ease of living, cleaning, and maintaining the home.",ZERH Homeowner
Quality Built,"...it is difficult to explain what it is like to live in a home without drafts, cold spots, and heating/cooling losses through inefficient windows.",ZERH Homeowner
Quality Built,The house is so well built that heating and cooling demands are minimal. I am confident that the house they built for me will meet all of my future needs.,ZERH Homeowner
Quality Built,We looked for a long time and we were finding the choice between bad and worse. This house is so preferable -  to have a the opportunity to be in a home that is so well built. It's double checked. We like the fact that there are standards in place.,ZERH Homeowner
Quality Built,"We planned this house to be a retirement home, so we were looking for low on-going costs of operation and maintenance. Everything that goes into being a DOE Zero Energy Ready Home lines up with our goals and ideals.",ZERH Homeowner
Quality Built,"This home is green, eco-friendly, energy and water efficient, durable, comfortable, and low maintenance. It's not rocket science. It's just paying attention to details and doing it right.",ZERH Builder
Quality Built,It's crazy the difference. We have not altered our standard of comfort. We have not made a conscious effort to conserve on energy. The house does it for us by the mere fact that it was built using the most energy-efficient products and methods in the industry.,ZERH Homeowner
Quality Built,We are committed to renewable energy and sustainable building practices and this is the home we have been dreaming of building for more than 10 years.,ZERH Homeowner
Quality Built,"Designed from the ground up to optimize energy performance, produce on-site renewable energy, utilize recycled materials, conserve water and other resources, provide a healthy indoor environment, and last for generations....that's high performance building.",ZERH Builder
Quality Built,"We believe our whole house system approach provides the most efficient, comfortable, durable and healthy house on the market today.",ZERH Builder
Quality Built,The home is so quiet that you can't hear the traffic. Our energy bills are lower than our apartment and we have no bugs. The house is easy to maintain and very comfortable.,ZERH Homeowner
Quality Built,"When we visit other people's homes and return to ours, we greatly appreciate the quality and feel we experience here...I love waking up in my new house.",ZERH Homeowner
Quality Built,"Knowing very little, I simply wanted a good value and all the things one wants from a new home. Those basic requirements such as comfort, quietness, and quality of construction have certainly been met for me.",ZERH Homeowner
Quality Built,"With all of the things you deal with in a house...90% of those can disappear when you put a little more thought and a little more attention into the engineering of the house. You have a house that's really comfortable, that you really enjoy, that you can stay in for the rest of your life and that you don't ever want to leave. I don't know that I can say that for any other houses I've ever lived in.",ZERH Homeowner
Quality Built,"The DOE Zero Energy Ready Home program has set a standard that is truly 'best in class.' It is pulling our industry towards a quality revolution. The ZERH process of checklists and procedures helps us build better homes. We leave nothing to happenstance -- when it comes to quality, we want every T crossed, every I dotted.",ZERH Builder
Quality Built,We go beyond standard code requirements to build homes that will be compliant far into the future.,ZERH Builder
Quality Built,"We enjoy the comfort, quality, and performance of our certified zero energy ready home.",ZERH Homeowner
Quality Built,"Our customers feedback includes praise for the low bills, indoor air quality, comfort, finishes, building process, decreased noise infiltration and so much more.",ZERH Builder
Quality Built,Following the guidelines of the Zero Energy Ready Home Program..can surely serve as a model for oher builders across the country. ,ZERH Builder
Quality Built,"We ended up with a modern, tightly sealed, green, comfortable house and are so happy with the results.",ZERH Homeowner
Quality Built,"We are so pleased with our new home.. The end product was a high quality, energy efficient, and comfortable home that we will enjoy for many years. ",ZERH Homeowner
Quality Built,The ZERH program aligns perfectly with what out customers are looking for but doesn't hike up the cost so much that it's not affordable,ZERH Builder
Quality Built,Things I like about the DOE ZERH program are knowing that I'm building homes that actually work right and owners enjoy living in. ,ZERH Builder
Quality Built,"So many elements in the house behind the scenes to the average homebuyer, but it makes a big difference in our bottom line and energy bills",ZERH Builder
Ultra Efficient,"Our primary concerns were energy efficiency and safety..we are delighted by our beautiful, net-zero energy, green home of our dreams.""",ZERH Homeowner
Ultra Efficient,"According to the U.S. Department of Energy (DOE), every certified Zero Energy Ready Home is so energy efficient a small solar electric system can easily offset most, or all, of its annual energy consumption. This is why it is called as Zero Energy Ready Home.",US Department of Energy
Ultra Efficient,"The home is quiet, comfortable and dust-free. The utilities are low...Our yearly gas budget was just adjusted again. Down. $35/month. Wow..",ZERH Homeowner
Ultra Efficient,Many of [our clients] have never paid more than the minimum electric bill,
Ultra Efficient,"I think our most expensive gas bill for a 2,100 square foot home was about $35.",ZERH Homeowner
Ultra Efficient,Going from paying $2500 a year for utilities to getting a $260 check back from the utility company is another added benefit which we love. Our home runs like a well-oiled machine.,ZERH Homeowner
Ultra Efficient,Our energy bills are less than half of our previous home with 20% more square footage.,ZERH Homeowner
Ultra Efficient,"WE came from a 3,000 square foot colonial that cost us...$4,000 a year just in oil, plus an electric bill that was about what we are paying for everything now.",ZERH Homeowner
Ultra Efficient,"I love my new home at Holly Creek. My last gas and electric bill was only $18, which is wonderful! And I haven't had to turn my heat on at all!",ZERH Homeowner
Ultra Efficient,"We love our home. We have enjoyed being here so much. When I saw my first bill and compared it to my last home's bill, I was so impressed.",ZERH Homeowner
Ultra Efficient,"The well-insulated house and solar panels save so much energy, our electric company usually just charges us the $16 service charge.",ZERH Homeowner
Ultra Efficient,"We are extremely happy with the quality of construction, the energy savings, and the air quality of our new home. We got in our first full-month electric bill after hooking up the two-way meter and it is $30.02. How's that for green!",ZERH Homeowner
Ultra Efficient,"This past winter...our highest monthly heating cost was $60, whereas my neighbors were spending hundreds if not thousands per month.",ZERH Homeowner
Ultra Efficient,WE wanted to reduce our carbon footprint and contribute to living more sustainably. The benefits that followed include the major perk of a lifetime of zero energy use and cost.,ZERH Homeowner
Ultra Efficient,The energy efficiency of my home has truly blown me away. One power bill totaled $3.64 and another totaled $7.96. As far as I'm concerned you can't beat that.,ZERH Homeowner
Ultra Efficient,I have a friend who lives two streets over with only a two-bedroom home and her electric bill runs from $250-$325. My home is so well insulated I have not had to turn on my heat one time this winter. I could not ask for better. I love it!,ZERH Homeowner
Ultra Efficient,Energy bills are less than half of our previous home with 20% more square footage.,ZERH Homeowner
Ultra Efficient,It is not often that the responsible thing to do for the greater food also turns out to offer immediate personal economic benefits.,ZERH Homeowner
Ultra Efficient,"It's our first home and we love it. Because of the way it's built we don't have to worry about high utility bills, even in the summer.",ZERH Homeowner
Ultra Efficient,"This home has been constructed with an exceptional attention to detail that will continually pay off...without any additional cost per square foot. With no additional upfront cost, homeowners are able to move in and instantly reap the benefits of owing such an efficient and sustainable home; and they will continue for years to come.",ZERH Builder
Ultra Efficient,"Before we moved, we were living in an 800 square foot residence and often paying over $200-$225 for utilities. Here, we have over 1,300 square feet but our utility bill is less than $100.",ZERH Homeowner
Ultra Efficient,We love our new energy-efficient home knowing that our initial investment will pay for itself over the next ten years. It's a pleasure opening our electrical bill to see the lowest amounts we have ever paid.,ZERH Homeowner
Ultra Efficient,"We take pride in owning a house that allows us to not only live a more sustainable life, but also allows us to save a significant amount of money on our utility bills. The utilities in homes we lived in before ranged from $150-$300 a month. At our townhome last month our utility bill was $11.",ZERH Homeowner
Ultra Efficient,In past home I have had higher electric bills and less comfort. There is not a single thing I dislike about this home and we love the quality of the construction.,ZERH Homeowner
Ultra Efficient,"We absolutely love our home. We could not be happier with how it's turned out. Coming from a 2-bedroom apartment, the energy usage is lower in the new house. That's pretty amazing.",ZERH Homeowner
Ultra Efficient,My customers smile when they tell me how low their utility bills are and how their homes do not have any dust.,ZERH Builder
Ultra Efficient,"Despite extremely energy-efficient design, there was no compromise on aesthetics and only a reasonable cost premium...constant temperature year-round, no wide temperature swings, just continuous, constant comfort, and an exceptionally quiet interior. ",ZERH Homeowner
Ultra Efficient,"That's probably the best part, being comfortable at all times. We don't have to do anything and it's not having an effect on the power bill.",ZERH Homeowner
Ultra Efficient,We were coming from a home that was about half the size of this and we are spending a fraction of what we did before on utilities.,ZERH Homeowner
Ultra Efficient,"So many elements in the house behind the scenes to the average homebuyer, but it makes a big difference in our bottom line and energy bills",ZERH Builder
