Subject,Event Type,Title,Location,Event Date,AMO Pillar,Description,Attachment
Technical Assistance,Webinar,Understanding your Natural Gas Bills,Virtual,10/19/2021,Technical Partnerships,This Webinar was organized to help company decision-makers learn about and analyze their electricity bills. The webinar provides a detailed guide to users about how to use their electricity bills to maximize their plant's energy efficiency.,https://www.energy.gov/eere/amo/understanding-your-natural-gas-bills
Technical Assistance,Webinar,Understanding Your Electricity Bills,Virtual,10/14/2021,Technical Partnerships,This Webinar was organized to help company decision-makers learn about and analyze their electricity bills. The webinar provides a detailed guide to users about how to use their electricity bills to maximize their plant's energy efficiency.,https://www.energy.gov/eere/amo/understanding-your-electricity-bills
Technical Assistance,Webinar,Energy Intensity Baselining and Tracking Guidance,Virtual,10/12/2021,Technical Partnerships,More than one-third of the energy consumed in the United States (more than $200B a year) is used to power our manufacturing plants and industrial factories. Saving energy can lead to cost savings and strengthen the company's manufacturing competitiveness.,https://www.energy.gov/eere/amo/energy-intensity-baselining-and-tracking-guidance
Technical Assistance,Webinar,Energy Saving: A Quick Start Guide for Small and Medium Manufacturers,Virtual,10/7/2021,Technical Partnerships,"In this webinar, participants learned about the Energy Intensity Baselining and Tracking Guidance, our tool that helps companies meet the Better Plants program's reporting requirements by describing the steps necessary to develop an energy consumption and",https://www.energy.gov/eere/amo/energy-saving-quick-start-guide-small-and-medium-manufacturers
Crosscutting R&D,Workshop,AMO TRANSSFORM Initiative Workshop ,Virtual,9/10/2021,AMO,"AMO is building the TRANSSFORM (Transformative, Resilient, Adaptive, Nimble, Sustainable, Smart, Flexible, Optimal, Robust, and Model-based) initiative to strengthen the domestic supply chain for and enhance the global competitive of U.S. manufacturing.",https://ww2.eventrebels.com/er/Registration/StepRegInfo.jsp?ActivityID=38464&StepNumber=1&v=M2M0NzJlNjEtNjg1Ny00YzRiLWIwYzItNzE3OWRmMzFjNzRh
Workforce Development,Workshop,Re-Convene Education and Workforce Development Workshop ,Virtual,8/18/2021,Technical Partnerships,"The final workshop in a series designed to identify education and workforce development (EWD) gaps and needs in manufacturing and the industrial sector more broadly, and to inform the development of AMO's high-impact EWD activities.",https://www.energy.gov/eere/amo/events/amo-re-convene-education-and-workforce-development-workshop
High Performance Materials,Workshop,Semiconductor R&D Workshop 3: Analog & Neuromorphic Computing ,Virtual,8/13/2021,R&D Projects,"Representatives from the research community --especially industrial researchers-- discussed the latest advances in analog and neuromorphic computing hardware technologies, which industries and applications are best suited to benefit from them, and the eng",https://www.energy.gov/eere/amo/events/semiconductor-rd-workshop-3-analog-neuromorphic-computing
High Performance Materials,Workshop,Semiconductor R&D Workshop 2: Ultra Precision Control,Virtual,4/23/2021,R&D Projects,"This workshop will concentrate on the role of ultra-precision control in enabling manufacturable, ultra-energy-efficient semiconductor devices.",https://www.energy.gov/eere/amo/events/semiconductor-rd-energy-efficiency-workshop-2-ultra-precision-control-ultra
High performance materials,Workshop,CABLE R&D Workshop ,Virtual,4/9/2021,R&D Projects,"The goal of CABLE is to develop high-performance yet affordable electric and thermal materials and applications that improve U.S. energy and material efficiency. The CABLE Workshop will bring together material scientists, application developers, manufactu",https://www.energy.gov/eere/amo/events/cable-rd-workshop-manufacturing-initiative-improved-conductors-support-widespread
High Performance Materials,Workshop,Semiconductor R&D Workshop 1: Integrated Sensor Systems,Virtual,1/26/2021,R&D Projects,"This workshop focused on integrated sensor system R&D for manufacturing applications. As AMO is housed within the office of Energy Efficiency and Renewable Energy (EERE), the workshop addressed not only industry needs and R&D opportunities, but also the i",https://www.energy.gov/eere/amo/articles/amo-semiconductor-workshop-integrated-sensor-systems-report
Critical Materials,Workshop,EERE R&D Battery Critical Materials Supply Chain Virtual Workshop Series,Virtual,12/17/2020,R&D Consortia,"This workshop helped EERE and DOE better understand the current and future trends in the supply chains of lithium, cobalt, and nickel, which are critical materials for battery production.",https://www.energy.gov/eere/amo/eere-rd-battery-critical-materials-supply-chain-virtual-workshop-series
Advanced Processes,Workshop,Industrial Thermal Process Intensification Workshop ,Virtual,12/9/2020,R&D Projects,This workshop discusses transformative technologies and strategies to substantially improve the performance of thermal processing systems in the industrial sector.,https://www.energy.gov/eere/amo/events/thermal-process-intensification-workshop-transforming-way-industry-uses-thermal
Energy Intensive Industries,Workshop,Sustainable Chemistry in Manufacturing Processes Roundtable,Virtual,11/17/2020,R&D Projects,The Advanced Manufacturing Office (AMO) at the U.S. Department of Energy (DOE) and the Green Chemistry & Commerce Council (GC3) co-hosted an informal virtual roundtable to gather Industry stakeholder perspectives on how sustainable chemistry is being inco,https://www.energy.gov/eere/amo/downloads/sustainable-chemistry-manufacturing-processes-roundtable
High Performance Materials,Workshop,Materials for Harsh Service Conditions Virtual Workshop ,Virtual,10/30/2020,R&D Projects,,https://www.energy.gov/eere/amo/articles/materials-harsh-environments-2020-virtual-workshop-summary-report
Energy Water Nexus,Workshop,Future of Water Infrastructure and Innovation Summit,Virtual,10/27/2020,AMO,The Advanced Manufacturing Office (AMO) at the U.S. Department of Energy (DOE) held <em>The Future of Water Infrastructure and Innovation Summit</em> to inform the understanding of future opportunities in the water space.  The virtual summit was held on O,https://www.energy.gov/eere/amo/articles/future-water-infrastructure-and-innovation-summit
Technical Assistance,Webinar,50001 Ready Utility Network Series: Recognition Processes,,9/16/2020,Technical Partnerships,"This webinar provides a guided review of the 50001 Ready recognition and re-recognition process and a walk through of all the tools to help support your customers with understanding the recognition requirements, and in submitting and maintaining active DO",https://www.energy.gov/eere/amo/events/50001-ready-utility-network-series
Combined Heat and Power (CHP),Workshop  ,Fall 2020 Combined Heat and Power (CHP) Virtual Workshop ,,9/8/2020,R&D Projects,"The Advanced Manufacturing Office (AMO) held a virtual workshop on September 8-10, 2020 on potential areas for future research and development (R&D) and program activities for Combined Heat and Power (CHP). AMO hosted this workshop over the course of thre",https://www.energy.gov/eere/amo/downloads/fall-2020-combined-heat-and-power-chp-virtual-workshop
Combined Heat and Power (CHP),Webinar,Financing Solutions for Combined Heat and Power ,,7/23/2020,Technical Partnerships,"This webinar, held on July 23, 2020 and hosted by the Upper-West CHP Technical Assistance Partnership (CHP TAP), focused on innovative ways to finance the development of efficiency and resiliency strategies, including combined heat and power (CHP) systems",https://www.energy.gov/sites/prod/files/2020/09/f78/CHPTAP_Finance_072320.pdf
Combined Heat and Power (CHP),Webinar,Navigating the U.S. DOE's Packaged CHP Systems eCatalog,,7/16/2020,Technical Partnerships,"This webinar, organized by the Northwest Combined Heat and Power Technical Assistance Partnership (CHP TAP), was held on July 16, 2020. Participants learned about the U.S. Department of Energy CHP eCatalog, a national web-based catalog of DOE-recognized p",https://www.energy.gov/sites/prod/files/2020/09/f78/CHPTAP_eCatalog_071620.pdf
Critical Materials,Workshop,Battery Critical Materials Supply Chain Opportunities ,Virtual,6/29/2020,R&D Consortia,This webinar provided an overview of current R&D investments in the domestic supply chain of such materials.,https://www.nrel.gov/transportation/battery-critical-materials-supply-chain-opportunities-workshop.html
Technical Assistance,Webinar,50001 Ready Utility Network Series: Training Portfolio,,6/24/2020,Technical Partnerships,"The U.S. Department of Energy hosted the webinar, 50001 Ready Utility Network Series: Training Portfolio, in June 2020 to provide a guided tour through the training material updates. The training materials teach the fundamental concepts of 50001 Ready and",https://www.energy.gov/eere/amo/events/50001-ready-utility-network-series-training-portfolio
Combined Heat and Power (CHP),Webinar,Bioenergy + Combined Heat and Power (CHP) Benefits for Municipalities,,6/17/2020,Technical Partnerships,"This webinar, held on June 17, 2020 and hosted by the Southeast CHP Technical Assistance Partnership (CHP TAP), discussed how renewable biogas from landfills and anaerobic digestion at wastewater facilities can provide cities and counties with electricity",https://www.energy.gov/sites/prod/files/2020/09/f78/CHPTAP_Bioenergy_061720.pdf
Combined Heat and Power (CHP),Webinar,Enhancing Resiliency and Reliability in Multifamily Buildings with Combined Heat and Power ,,6/16/2020,Technical Partnerships,"This webinar, held on June 16, 2020 and hosted by the Upper-West CHP Technical Assistance Partnership (CHP TAP), focused on the opportunities to enhance the resiliency and reliability of multifamily buildings with combined heat and power (CHP). Participan",https://www.energy.gov/sites/prod/files/2020/09/f78/CHPTAP_Multifamily_061620.pdf
Combined Heat and Power (CHP),Webinar,Packaged CHP eCatalog and Accelerator Program,,6/10/2020,Technical Partnerships,,https://betterbuildingssolutioncenter.energy.gov/webinars/packaged-chp-ecatalog-and-accelerator-program
Sustainable Materials and Products,Webinar,Energy Storage Grand Challenge Manufacturing Workshop,,3/16/2020,AMO,"This workshop was held to address the challenges and the opportunities for U.S. manufacturing of a broad approach to energy storage opportunities (thermal, electrochemical, industrial processes, devices, and systems) with the aim of informing the DOE on t",https://www.energy.gov/eere/amo/events/energy-storage-grand-challenge-manufacturing-workshop
Advanced Processes,Workshop,Dynamic Catalyst Science Roundtable,"Houston, TX",2/26/2020,R&D Projects,"Representatives from the chemical industry, DOE National Laboratories, and academia gathered at the University of Houston campus to listen to expert speakers and participate in facilitated discussions regarding needs and opportunities for dynamic catalyst",https://www.energy.gov/eere/amo/events/dynamic-catalyst-science-roundtable
Technical Assistance,Webinar,50001 Ready Utility Network Series: Navigator Tool Update,,2/19/2020,Technical Partnerships,,https://www.energy.gov/eere/amo/events/50001-ready-utility-network-series-navigator-tool-update
Energy Intensive Industries,Workshop,AMO Steel Industry Roundtable,"Washington, DC",11/6/2019,R&D Projects,"Representatives from the steel industry, DOE National Laboratories, academia, and non-governmental organizations gathered in Washington, D.C. to listen toexpert speakers and participate in facilitated discussions regarding steel technology needs and oppor",https://www.energy.gov/sites/prod/files/2020/02/f71/2019%20AMO%20Steel%20Industry%20Roundtable%20Summary_compliant%20FINAL.PDF
Critical Materials,Workshop,Critical Minerals Rare Earths Supply Chain Roundtable & Workshop ,Virtual,11/1/2019,R&D Consortia,This stakeholder discussion aimed to identify the potential for increased international collaboration and inform the development of an R&D critical materials roadmap as part of the execution of a federal strategy for critical materials and rare earth supp,https://energy.gov/eere/amo/critical-minerals-rare-earths-supply-chain-roundtable-workshop
Technical Assistance,Webinar,50001 Ready Utility Network Series: Implementer Successes,,10/9/2019,Technical Partnerships,"The U.S. Department of Energy hosted the webinar, 50001 Ready Implementer Successes, in October 2019. Two utility implementers describe how 50001 Ready has benefited their programs and their customers",https://www.energy.gov/eere/amo/events/50001-ready-utility-network-series-implementer-successes
Technical Assistance,Webinar,Superior Energy Performance 50001&trade; 2019 Program ,,6/6/2019,,"The U.S. Department of Energy hosted a webinar on June 6, 2019 to present the newly launched update of the Superior Energy Performance 50001&trade; (SEP 50001&trade;) program and guidance on transitioning to the 2019 program. ",https://www.energy.gov/eere/amo/events/webinar-superior-energy-performance-50001-2019-program
Technical Assistance,Webinar,50001 Ready Utility Network Series: Partner Program Overview,,5/15/2019,Technical Partnerships,,https://www.energy.gov/eere/amo/events/us-doe-50001-ready-network-series-webinar-may-15
Technical Assistance,Webinar,Preview of Superior Energy Performance 50001 (SEP 50001) &mdash; 2019 Program Version,,1/29/2019,Technical Partnerships,"The U.S. Department of Energy hosted a webinar on January 29, 2019 to offer a preview of anticipated updates for the Superior Energy Performance program and name change to Superior Energy Performance 50001&trade;(SEP 50001?). Updates include changes to th",https://www.energy.gov/eere/amo/events/webinar-preview-superior-energy-performance-50001-sep-50001-2019-program-version
Software Tools,Webinar,Introduction to the DOE's New Energy Assessment Tool Suite: MEASUR,,8/15/2018,Technical Partnerships,,https://www.energy.gov/eere/amo/events/webinar-introduction-does-new-energy-assessment-tool-suite-measur
High performance materials,Workshop,"A Multi-Agency, Multi-Year Program Plan in Advanced Energy Materials Discovery, Development, and Process Design","Gaithersburg, MD",7/12/2018,R&D Projects,,https://www.energy.gov/eere/amo/events/workshop-multi-agency-multi-year-program-plan-advanced-energy-materials-discovery
Technical Assistance,Webinar,Technologist in Residence Program,,6/6/2018,Technical Partnerships,,https://www.energy.gov/eere/amo/downloads/technologist-residence-program-powerpoint
Advanced Processes,Webinar,RAPID Process Intensification Webinar Series,,2/28/2018,Consortia,,https://www.energy.gov/eere/amo/events/rapid-manufacturing-institute-process-intensification-webinar-series
Energy Water Nexus,Workshop,Workshop on Clean Water Processing Technology Research and Development ,"Cleveland, OH",8/23/2017,R&D Projects ,"The Advanced Manufacturing Office (AMO) hosted a workshop on Artificial Intelligence Applied to Materials Discovery and Design. DOE invited experts from academia, national labs, federal agencies, and industry across several critical scientific disciplines",https://www.energy.gov/eere/amo/downloads/workshop-clean-water-processing-technology-research-and-development-august-23-24
Advanced Processes,Workshop,Workshop on Artificial Intelligence Applied to Materials Discovery and Design,"Pittsburgh, PA",8/9/2017,R&D Projects ,"The Advanced Manufacturing Office (AMO) hosted a workshop on Artificial Intelligence Applied to Materials Discovery and Design. DOE invited experts from academia, national labs, federal agencies, and industry across several critical scientific disciplines",https://www.energy.gov/eere/amo/downloads/workshop-artificial-intelligence-applied-materials-discovery-and-design
Energy Water Nexus,Workshop,Workshop on Clean Water Processing Technology Research and Development ,"Dallas, TX",7/10/2017,R&D Projects ,This workshop brought together leading scientific and technical experts across a range of clean water technologies to discuss opportunities for major advancements in science and technology for processing of clean water by exploring early-stage R&D in a br,https://www.energy.gov/eere/amo/downloads/workshop-clean-water-processing-technology-research-and-development-july-10-11
Energy Technology Manufacturing,Workshop,Dispatch able Distributed Generation: Manufacturing&apos;s Role in Support of Grid Modernization,"Austin, TX",2/10/2016,R&D Projects ,The topic of this 2 day workshop was the Role of the Manufacturing Sector in Grid Modernization. This workshop included discussions on the technological barriers of grid modernization in the industrial sector. ,https://www.energy.gov/eere/downloads/dispatchable-distributed-generation-manufacturing-s-role-support-grid-modernization
Energy Intensive Industries,Workshop,Sustainability In Manufacturing,"Portland, OR",1/6/2016,R&D Projects ,The topic of this 2-day workshop was Sustainable Manufacturing. This workshop included discussions featuring topics such as Developing and Using Alternative Feedstocks; Reduction of Waste in Manufacturing Processes; End of Life Product Management; Materia,https://www.energy.gov/eere/amo/downloads/workshop-sustainability-manufacturing-january-6-7
Combined Heat and Power (CHP),Webinar,Sustained Energy Savings Achieved Through Successful Industrial Customer Interaction with Ratepayer Programs,,12/10/2015,R&D Projects,"This informative webinar presentation discussed the experiences of large manufacturing companies that benefited from participation in its utility energy efficiency program offerings. Rick Pettibone, senior energy advisor with Franklin Energy, also shared ",https://www.energy.gov/sites/prod/files/2016/01/f28/Sustained Energy Savings Achieved Through Successful Industrial Customer Interaction with Ratepayer Programs %28December 10%2C 2015%29.pptx
Advanced Processes,Workshop,High Value Roll to Roll (HV R2R) Manufacturing Innovation,"Alexandria, VA",12/3/2015,R&D Projects ,"The Advanced Manufacturing Office (AMO) hosted a workshop. This 2 day workshop focused on the advanced manufacturing technology topic of HV R2R. Discussion topics included Advanced Deposition Processing and Printing, Unique Metrology and Quality Systems, ",https://www.energy.gov/eere/amo/downloads/workshop-high-value-roll-roll-hv-r2r-manufacturing-innovation-december-2-3-2015
High Performance Materials,Workshop,Materials for Harsh Service Conditions,"Pittsburgh, PA",11/19/2015,R&D Projects ,"The Advanced Manufacturing Office (AMO) hosted a workshop. The topic of this 1.5 day workshop was Materials for Harsh Service Conditions. Discussion topics included High Temperature, Corrosion, Mechanical Wear/Stress, and Radiation/Hydrogen Embrittlement.",https://www.energy.gov/eere/amo/downloads/workshop-materials-harsh-service-conditions-november-19-20-2015
Energy Water Nexus,Workshop,Desalination Technology Development Workshop ,"San Francisco, CA",11/5/2015,R&D Projects ,The Department of Energy Office of Energy Efficiency and Renewable Energy and Office of Fossil Energy hosted a workshop on Energy Optimized Desalination Technology Development. This 2-day workshop brought together technical experts in desalination to anal,https://www.energy.gov/eere/amo/downloads/energy-optimized-desalination-technology-development-workshop-november-5-6-2015
Advanced Processes,Webinar,"Advanced Sensors, Controls, Platforms, and Modeling for Manufacturing",,10/6/2015,Consortia,"The Advanced Manufacturing Office presented a webinar on the Manufacturing Innovation Institute for Smart Manufacturing: Advanced Sensors, Controls, Platforms, and Modeling for Manufacturing FOA (DE?FOA?0001263). ",https://www.energy.gov/sites/prod/files/2015/10/f27/FOA_Webinar_-_1263_October_6_FINAL_PDF.pdf
Crosscutting R&D,Webinar,HPC4Mfg: Advancing Innovation,,10/1/2015,R&D Projects,This presentation provided an overview of the High Performance Computing for Manufacturing (HPC4Mfg) program.,https://www.energy.gov/sites/prod/files/2015/10/f27/HPC4Mfg Webinar Oct 1 2015.pdf
Advanced Processes,Workshop,Process Intensification Workshop,"Alexandria, VA",9/29/2015,R&D Projects ,"The workshop set to promote the exchange of information between research laboratories, industry, academia and government agencies. This information included how to establish smaller and simpler equipment in manufacturing processes in addition to determini",https://www.energy.gov/eere/amo/downloads/process-intensification-workshop-september-29-30-2015
Advanced Processes,Workshop,Integrated Nanosystems for Atomically Precise Manufacturing Workshop,"Berkeley, CA",8/5/2015,R&D Projects ,"The US Department of Energy (DOE) Advanced Manufacturing Office (AMO) hosted a Workshop on Integrated Nanosystems for Atomically Precise Manufacturing (INFAPM). The workshop was designed to gather information on the vision, goals, barriers and advances ne",https://www.energy.gov/eere/amo/downloads/integrated-nanosystems-atomically-precise-manufacturing-workshop-august-5-6-2015
Advanced Processes,Workshop,Smart Manufacturing Institute Industry Day Workshop,"Atlanta, GA",2/27/2015,R&D Consortia,"AMO hosted an Industry Day workshop to explain the concept, vision, and technology needs associated with support for a Clean Energy Manufacturing Innovation Institute on Smart Manufacturing. ",https://www.energy.gov/eere/amo/articles/smart-manufacturing-institute-industry-day-workshop
Energy Intensive Industries,Workshop,Natural Gas Infrastructure R&D and Methane Emissions Mitigation Workshop,"Coraopolis, PA",11/12/2014,R&D Projects ,The Advanced Manufacturing Office (AMO) and the Office of Fossil Energy (FE) hosted a workshop as a follow-up to the President?s Climate Action Plan and the DOE meeting series on reducing methane emissions from natural gas pipeline systems.,https://www.energy.gov/eere/amo/downloads/natural-gas-infrastructure-rd-and-methane-emissions-mitigation-workshop
Advanced Processes,Workshop,Manufacturing Innovation Multi-Topic Workshop ,"Fort Worth, TX",10/8/2014,AMO,"DOE's Advanced Manufacturing Office (AMO) and the Office of Secretary of Defense Manufacturing Technology Program (OSD ManTech) held a joint workshop. This workshop identified mid-Technology Readiness Level (TRL) research and development (R&D) needs, mark",https://www.energy.gov/eere/amo/downloads/manufacturing-innovation-multi-topic-workshop
Advanced Processes,Workshop,Fiber Reinforced Polymer Composite Manufacturing Workshop ,"Arlington, VA",1/13/2014,R&D Projects ,A workshop on Fiber Reinforced Polymer (FRP) Composite Manufacturing brought together stakeholders from industry and academia to discuss manufacturing of composites. The workshop explored emerging FRP composite market applications in clean energy and barr,https://www.energy.gov/eere/amo/downloads/fiber-reinforced-polymer-composite-manufacturing-workshop
Advanced Processes,Workshop,Clean Energy Manufacturing Initiative: Regional and National Summit Series ,"Toledo, OH",6/21/2013,AMO,The Clean Energy Manufacturing Initiative (CEMI) is a Department of Energy initiative focused on increasing American competitiveness in Clean Energy Manufacturing. CEMI is hosting a series of regional and national summits to gather input on manufacturing ,https://www.energy.gov/eere/amo/clean-energy-manufacturing-initiative-regional-and-national-summit-series
Combined Heat and Power (CHP),Webinar,CHP: Enabling Resilient Energy Infrastructure,,4/3/2013,R&D Projects,"This presentation discussed the role for CHP systems in critical infrastructure resiliency, business continuity, and emergency planning and operations.",https://www.energy.gov/sites/prod/files/2013/11/f4/chp_enabling_resilient_energy_infrastructure.pdf
Workforce Development,Webinar,Becoming a Certified Practitioner or a Certified Energy Engineer,,9/11/2012,AMO,This presentation covered Certified Practitioner (CP) and Certified Energy Manager (CEM) credentialing.,https://www.energy.gov/sites/prod/files/2013/11/f4/tuesday_webcast_for_industry_sept2012.pdf
Technical Assistance,Webinar,Public Relations for Energy Sustainability,,8/14/2012,AMO,"Presented by Lisa Calhoun CEO, Write2Market, this webinar provided public relations strategies for energy sustainability.",https://www.energy.gov/sites/prod/files/2013/11/f4/tuesday_webcast_for_industry_august_2012.pdf
Advanced Processes,Workshop,Microwave and Radio Frequency Workshop ,"Long Beach, CA",7/25/2012,R&D Projects ,"At the Microwave and Radio Frequency Workshop, academic and industry experts discussed the existing and emerging electrotechnologies ? such as microwave (MW) and radio frequency (RF) energy ? and their potential to impact advanced manufacturing. Exploitin",https://www.energy.gov/eere/amo/downloads/microwave-and-radio-frequency-workshop
Energy Technology Manufacturing,Workshop,Wide Bandgap Semiconductors for Clean Energy Workshop,"Chicago, IL",7/25/2012,R&D Projects ,A workshop on Wide Bandgap (WBG) Semiconductors for Clean Energy brought together stakeholders from industry and academia to discuss the technical status of WBG semiconductors. The workshop also explored emerging WBG market applications in clean energy an,https://www.energy.gov/eere/amo/downloads/wide-bandgap-semiconductors-clean-energy-workshop-0
Advanced Processes,Workshop,Membrane Technology Workshop ,"Chicago, IL",7/24/2012,R&D Projects ,"At the Membrane Technology Workshop stakeholders from industry and academia explored the status of membrane research and development (R&D). Participants discussed R&D barriers, emerging applications, and advanced membrane technologies in commercial and in",https://www.energy.gov/eere/amo/downloads/membrane-technology-workshop-0 
Technical Assistance,Webinar,What the World's GREATEST Energy Managers Do Differently,,7/10/2012,AMO,"
Presented by Nasr Alkadi from Oak Ridge National Laboratory, this webinar provided tips on how to become efficient energy managers.    
",https://www.energy.gov/sites/prod/files/2013/11/f4/july_2012_webcast_for_industry.pdf
High Performance Materials,Workshop,Sustainable Nanomaterials Workshop,"Washington, DC",6/26/2012,R&D Projects ,The Sustainable Nanomaterials Workshop gathered stakeholders from industry and academia to discuss the current state of the art for sustainable nanomaterials as well as manufacturing challenges and opportunities. Sustainable nanomaterial production from f,https://www.energy.gov/eere/amo/downloads/sustainable-nanomaterials-workshop
High Performance Materials,Workshop,Multimaterial Joining Workshop ,"Chicago, IL",6/23/2012,R&D Projects ,"At the Multimaterial Joining Workshop subject matter experts from industry and academia described their views on state-of-the-art technologies, opportunities, and manufacturing challenges. Multimaterial joining techniques are important to diverse industri",https://www.energy.gov/eere/amo/downloads/multimaterial-joining-workshop
Advanced Processes,Workshop,Innovative Manufacturing Initiative Recognition Day ,"Washington, DC",6/20/2012,AMO,The Innovative Manufacturing Initiative (IMI) Recognition Day showcased IMI projects selected by the Energy Department to help American manufacturers dramatically increase the energy efficiency of their operations and reduce costs. Each project will advan,https://www.energy.gov/eere/amo/downloads/innovative-manufacturing-initiative-recognition-day
Advanced Processes,Webinar,Making Energy Efficiency Part of Corporate Culture,,6/12/2012,Technical Partnerships,This presentation discussed how Nissan Motor Company incorporated energy efficiency into its corporate environment through executive management support and cross-functional corporate teams.,https://www.energy.gov/sites/prod/files/2013/11/f4/june_2012_webcast_for_industry.pdf
Advanced Processes,Webinar,The Do and Check Processes of an Energy Management System,,5/10/2012,Technical Partnerships,"This presentation covered the ?Do and Check? processes of an Energy Management System.  ""Do"" processes include training, documents, operational control, communication, design, and procurement. ""Check"" processes include measuring and monitoring, legal requ",https://www.energy.gov/sites/prod/files/2013/11/f4/energy_management_implementation_webinar3_5-10-12.pdf
Energy Intensive Industries,Webinar,Tax Rebates/Credits Available for Energy Efficiency Actions,,5/8/2012,AMO,"Presented by Jeffrey Harris from Alliance to Save Energy, this webinar presented industry sector incentives for energy-efficient investments.",https://www.energy.gov/sites/prod/files/2013/11/f4/may_2012_webcast_for_industry.pdf
Technical Assistance,Webinar,Introduction to an Energy Management System,,4/19/2012,Technical Partnerships,This presentation provided an overview of energy management system (EnMS) implementation by describing what an EnMS is and why an EnMS is useful.,https://www.energy.gov/sites/prod/files/2013/11/f4/energy_management_implementation_webinar_1_4-19-12.pdf
Technical Assistance,Webinar,Engaging Supply Chains in Energy Management,,4/10/2012,Technical Partnerships,"Featuring presenters from PepsiCo and EUISSICA, this webinar covered ways of engaging industrial suppliers involved in energy management.",https://www.energy.gov/sites/prod/files/2013/11/f4/april_2012_tuesday_webcast_for_industry.pdf
Critical Materials,Workshop,Critical Materials Workshop,"Arlington, VA",4/3/2012,R&D Consortia,"AMO hosted a public workshop to provide background information on critical materials assessment, the current research within DOE related to critical materials, and the foundational aspects of Energy Innovation Hubs. Additionally, the workshop solicited in",https://www.energy.gov/eere/amo/downloads/critical-materials-workshop-0
