Title,Node_ID,Description,Category,Agency,Location,Type
Death Valley National Park,/node/3674635,Details how the remodeled visitor center includes a 60-kW PV shade structure array and a 30-kW field array near the headquarters parking lot.,Distributed Energy,DOI,CA,Web page
"Department of Veterans Affairs Medical Center, San Francisco, California",/node/849246,"Tells how the Veterans Affairs (VA) Medical Center in San Francisco is saving almost 3 million kilowatt-hours of electricity, more than 70,000 therms of natural gas, and more than $500,000 annually.",Energy Savings Performance Contracts,VA,CA,Web page
Doing Time Under the Sun: Rooftop Photovoltaics,/node/849801,Describes a 307-kilowatt photovoltaic system on Alcatraz Island.,Energy-Efficient Products and Technologies; Distributed Energy,DOI,CA,Web page
Driving Operational Changes Through an Energy Monitoring System,/node/757576,Describes a case study of IBM's corporate energy efficiency monitoring program that focuses on basic improvements in its real estate operations.,Institutional Change,N/A,N/A,Fact sheet
Dyess Air Force Base Water Conservation and Green Energy,/node/759251,Describes the successful water conservation energy savings performance contract project implemented at the Dyess Air Force Base in Texas.,Energy Savings Performance Contracts,DOD,TX,Fact sheet
Enabling Sustainable Acquisition by Improving Procurement Systems,/node/757616,Describes the DOE Waste Pilot Plant project.,Institutional Change,DOE,NM,Fact sheet
Energy Efficiency Opportunities in Federal High-Performance Computing Data Centers,/node/757426,Describes energy efficiency opportunities in several DOD high-performance computing data centers.,Data Centers,DOD,N/A,Fact sheet
Energy Savings Performance Contracts Success Story—Northern California TRACON,/node/1592551,Details how DOE's Federal Energy Management Program (FEMP) training helped Northern California TRACON complete a successful project using an energy savings performance contract.,Training; Distributed Energy,DOE,CA,Video
ESPC ESA Case Study: Energy Affordability at the National Institute of Standards and Technology,/node/4295697,Describes how the U.S. Department of Commerce National Institute of Standards and Technology installed a 5 MW-DC photovoltaic system under an energy savings performance contract energy sales agreement.,Distributed Energy; Energy Savings Performance Contracts,DOC,MD,Fact sheet
Evaluation of Side Stream Filtration Technology at Oak Ridge National Laboratory,/node/989491,Provides an in-depth look at side stream filtration at Oak Ridge National Laboratory.,Water Management,DOE,TN,Fact sheet
Federal Investment Highlights: Alabama,/sites/prod/files/2019/03/f61/state-impact-alabama.pdf,Fact sheet details public-private partnership efficiency impacts and local project examples in Alabama.,Federal Investment Highlights,DOE,AL,Fact sheet
Federal Investment Highlights: Alaska,/sites/prod/files/2019/03/f60/state-impact-alaska_0.pdf,Fact sheet details public-private partnership efficiency impacts and local project examples in Alaska.,Federal Investment Highlights,DOE,AK,Fact sheet
Federal Investment Highlights: Arizona,/sites/prod/files/2019/03/f60/state-impact-arizona.pdf,Fact sheet details public-private partnership efficiency impacts and local project examples in Arizona.,Federal Investment Highlights,DOE,AZ,Fact sheet
Federal Investment Highlights: Arkansas,/sites/prod/files/2019/04/f61/state-impact-arkansas.pdf,Fact sheet details public-private partnership efficiency impacts and local project examples in Arkansas.,Federal Investment Highlights,DOE,AR,Fact sheet
Federal Investment Highlights: California,/sites/prod/files/2019/04/f61/state-impact-california.pdf,Fact sheet details public-private partnership efficiency impacts and local project examples in California.,Federal Investment Highlights,DOE,CA,Fact sheet
Federal Investment Highlights: Colorado,/sites/prod/files/2019/03/f60/state-impact-colorado.pdf,Fact sheet details public-private partnership efficiency impacts and local project examples in Coloado.,Federal Investment Highlights,DOE,CO,Fact sheet
Federal Investment Highlights: Connecticut,/sites/prod/files/2019/04/f61/state-impact-connecticut.pdf,Fact sheet details public-private partnership efficiency impacts and local project examples in Connecticut.,Federal Investment Highlights,DOE,CT,Fact sheet
Federal Investment Highlights: Delaware,/sites/prod/files/2019/03/f60/state-impact-delaware.pdf,Fact sheet details public-private partnership efficiency impacts and local project examples in Delaware.,Federal Investment Highlights,DOE,DE,Fact sheet
Federal Investment Highlights: Florida,/sites/prod/files/2019/03/f61/state-impact-florida.pdf,Fact sheet details public-private partnership efficiency impacts and local project examples in Florida.,Federal Investment Highlights,DOE,FL,Fact sheet
Federal Investment Highlights: Georgia,/sites/prod/files/2019/04/f61/state-impact-georgia.pdf,Fact sheet details public-private partnership efficiency impacts and local project examples in Georgia.,Federal Investment Highlights,DOE,GA,Fact sheet
Federal Investment Highlights: Hawaii,/sites/prod/files/2019/03/f60/state-impact-hawaii.pdf,Fact sheet details public-private partnership efficiency impacts and local project examples in Hawaii.,Federal Investment Highlights,DOE,HI,Fact sheet
Federal Investment Highlights: Idaho,/sites/prod/files/2019/03/f60/state-impact-idaho.pdf,Fact sheet details public-private partnership efficiency impacts and local project examples in Idaho.,Federal Investment Highlights,DOE,ID,Fact sheet
Federal Investment Highlights: Illinois,/sites/prod/files/2019/03/f60/state-impact-illinois.pdf,Fact sheet details public-private partnership efficiency impacts and local project examples in Illinois.,Federal Investment Highlights,DOE,IL,Fact sheet
Federal Investment Highlights: Indiana,/sites/prod/files/2019/04/f61/state-impact-indiana.pdf,Fact sheet details public-private partnership efficiency impacts and local project examples in Indiana.,Federal Investment Highlights,DOE,IN,Fact sheet
Federal Investment Highlights: Iowa,/sites/prod/files/2019/04/f61/state-impact-iowa.pdf,Fact sheet details public-private partnership efficiency impacts and local project examples in Iowa.,Federal Investment Highlights,DOE,IA,Fact sheet
Federal Investment Highlights: Kansas,/sites/prod/files/2019/04/f61/state-impact-kansas.pdf,Fact sheet details public-private partnership efficiency impacts and local project examples in Kansas.,Federal Investment Highlights,DOE,KS,Fact sheet
Federal Investment Highlights: Kentucky,/sites/prod/files/2019/04/f61/state-impact-kentucky.pdf,Fact sheet details public-private partnership efficiency impacts and local project examples in Kentucky.,Federal Investment Highlights,DOE,KY,Fact sheet
Federal Investment Highlights: Louisiana,/sites/prod/files/2019/03/f60/state-impact-louisiana_0.pdf,Fact sheet details public-private partnership efficiency impacts and local project examples in Louisiana.,Federal Investment Highlights,DOE,LA,Fact sheet
Federal Investment Highlights: Maine,/sites/prod/files/2019/03/f60/state-impact-maine.pdf,Fact sheet details public-private partnership efficiency impacts and local project examples in Maine.,Federal Investment Highlights,DOE,ME,Fact sheet
Federal Investment Highlights: Maryland,/sites/prod/files/2019/04/f61/state-impact-maryland.pdf,Fact sheet details public-private partnership efficiency impacts and local project examples in Maryland.,Federal Investment Highlights,DOE,MD,Fact sheet
Federal Investment Highlights: Massachusetts,/sites/prod/files/2019/04/f61/state-impact-massachusetts.pdf,Fact sheet details public-private partnership efficiency impacts and local project examples in Massachusetts.,Federal Investment Highlights,DOE,MA,Fact sheet
Federal Investment Highlights: Michigan,/sites/prod/files/2019/03/f60/state-impact-michigan.pdf,Fact sheet details public-private partnership efficiency impacts and local project examples in Michigan.,Federal Investment Highlights,DOE,MI,Fact sheet
Federal Investment Highlights: Minnesota,/sites/prod/files/2019/04/f61/state-impact-minnesota.pdf,Fact sheet details public-private partnership efficiency impacts and local project examples in Minnesota.,Federal Investment Highlights,DOE,MN,Fact sheet
Federal Investment Highlights: Mississippi,/sites/prod/files/2019/04/f61/state-impact-mississippi.pdf,Fact sheet details public-private partnership efficiency impacts and local project examples in Mississippi.,Federal Investment Highlights,DOE,MS,Fact sheet
Federal Investment Highlights: Missouri,/sites/prod/files/2019/04/f61/state-impact-missouri.pdf,Fact sheet details public-private partnership efficiency impacts and local project examples in Missouri.,Federal Investment Highlights,DOE,MO,Fact sheet
Federal Investment Highlights: Montana,/sites/prod/files/2019/03/f60/state-impact-montana.pdf,Fact sheet details public-private partnership efficiency impacts and local project examples in Montana.,Federal Investment Highlights,DOE,MT,Fact sheet
Federal Investment Highlights: Nevada,/sites/prod/files/2019/04/f61/state-impact-nevada.pdf,Fact sheet details public-private partnership efficiency impacts and local project examples in Nevada.,Federal Investment Highlights,DOE,NV,Fact sheet
Federal Investment Highlights: New Jersey,/sites/prod/files/2019/04/f61/state-impact-newjersey.pdf,Fact sheet details public-private partnership efficiency impacts and local project examples in New Jersey.,Federal Investment Highlights,DOE,NJ,Fact sheet
Federal Investment Highlights: New Mexico,/sites/prod/files/2019/04/f61/state-impact-newmexico.pdf,Fact sheet details public-private partnership efficiency impacts and local project examples in New Mexico.,Federal Investment Highlights,DOE,NM,Fact sheet
Federal Investment Highlights: New York,/sites/prod/files/2019/04/f61/state-impact-newyork.pdf,Fact sheet details public-private partnership efficiency impacts and local project examples in New York.,Federal Investment Highlights,DOE,NY,Fact sheet
Federal Investment Highlights: North Carolina,/sites/prod/files/2019/04/f61/state-impact-northcarolina.pdf,Fact sheet details public-private partnership efficiency impacts and local project examples in North Carolina.,Federal Investment Highlights,DOE,NC,Fact sheet
Federal Investment Highlights: North Dakota,/sites/prod/files/2019/03/f60/state-impact-northdakota.pdf,Fact sheet details public-private partnership efficiency impacts and local project examples in North Dakota.,Federal Investment Highlights,DOE,ND,Fact sheet
Federal Investment Highlights: Ohio,/sites/prod/files/2019/03/f60/state-impact-ohio.pdf,Fact sheet details public-private partnership efficiency impacts and local project examples in Ohio.,Federal Investment Highlights,DOE,OH,Fact sheet
Federal Investment Highlights: Oklahoma,/sites/prod/files/2019/04/f61/state-impact-oklahoma.pdf,Fact sheet details public-private partnership efficiency impacts and local project examples in Oklahoma.,Federal Investment Highlights,DOE,OK,Fact sheet
Federal Investment Highlights: Oregon,/sites/prod/files/2019/04/f61/state-impact-oregon.pdf,Fact sheet details public-private partnership efficiency impacts and local project examples in Oregon.,Federal Investment Highlights,DOE,OR,Fact sheet
Federal Investment Highlights: Pennsylvania,/sites/prod/files/2019/04/f61/state-impact-pennsylvania.pdf,Fact sheet details public-private partnership efficiency impacts and local project examples in Pennsylvania.,Federal Investment Highlights,DOE,PA,Fact sheet
Federal Investment Highlights: Rhode Island,/sites/prod/files/2019/04/f61/state-impact-rhodeisland.pdf,Fact sheet details public-private partnership efficiency impacts and local project examples in Rhode Island.,Federal Investment Highlights,DOE,RI,Fact sheet
Federal Investment Highlights: South Carolina,/sites/prod/files/2019/03/f60/state-impact-southcarolina.pdf,Fact sheet details public-private partnership efficiency impacts and local project examples in South Carolina.,Federal Investment Highlights,DOE,SC,Fact sheet
Federal Investment Highlights: Tennessee,/sites/prod/files/2019/03/f60/state-impact-tennessee.pdf,Fact sheet details public-private partnership efficiency impacts and local project examples in Tennessee.,Federal Investment Highlights,DOE,TN,Fact sheet
Federal Investment Highlights: Texas,/sites/prod/files/2019/03/f60/state-impact-texas.pdf,Fact sheet details public-private partnership efficiency impacts and local project examples in Texas.,Federal Investment Highlights,DOE,TX,Fact sheet
Federal Investment Highlights: Utah,/sites/prod/files/2019/04/f61/state-impact-utah.pdf,Fact sheet details public-private partnership efficiency impacts and local project examples in Utah.,Federal Investment Highlights,DOE,UT,Fact sheet
Federal Investment Highlights: Virginia,/sites/prod/files/2019/04/f61/state-impact-virginia.pdf,Fact sheet details public-private partnership efficiency impacts and local project examples in Virginia.,Federal Investment Highlights,DOE,VA,Fact sheet
Federal Investment Highlights: Washington,/sites/prod/files/2019/03/f60/state-impact-washington.pdf,Fact sheet details public-private partnership efficiency impacts and local project examples in Washington.,Federal Investment Highlights,DOE,WA,Fact sheet
Federal Investment Highlights: West Virginia,/sites/prod/files/2019/03/f60/state-impact-westvirginia.pdf,Fact sheet details public-private partnership efficiency impacts and local project examples in West Virginia.,Federal Investment Highlights,DOE,WV,Fact sheet
Federal Investment Highlights: Wisconsin,/sites/prod/files/2019/04/f61/state-impact-wisconsin.pdf,Fact sheet details public-private partnership efficiency impacts and local project examples in Wisconsin.,Federal Investment Highlights,DOE,WI,Fact sheet
Federal Investment Highlights: Wyoming,/sites/prod/files/2019/03/f60/state-impact-wyoming.pdf,Fact sheet details public-private partnership efficiency impacts and local project examples in Wyoming.,Federal Investment Highlights,DOE,WY,Fact sheet
Food and Drug Administration White Oak Campus Environmental Stewardship and Cost Savings,/node/759256,Describes FDA's White Oak Campus combined heat and power plant that was constructed using an energy savings performance contract. ,Energy Savings Performance Contracts; Distributed Energy,FDA,MD,Fact sheet
Fume Hood Sash Stickers Increases Laboratory Safety and Efficiency at Minimal Cost,/node/757501,Describes two University of California campuses that increased laboratory exhaust efficiency and safety by using fume hood sash stickers.,Laboratories,N/A,CA,Fact sheet
General Services Administration New Carrollton Federal Building,/node/1859111,How deep energy retrofits were achieved through a $45 million energy savings performance contract designed to reduce energy consumption by 60%.,Energy Savings Performance Contracts; Distributed Energy,GSA,MD,Video
Glacier National Park,/node/3674638,Features the visitor center south of the Canadian border using electricity generated by 3.6 kW of PV and micro-hydroelectric power from an on-site dam.,Distributed Energy,DOI,MT,Web page
Grand Canyon National Park,/node/3674641,Details the 1.44-kW PV system on the remote North Rim of the park providing 50% of the power to the visitor center.,Distributed Energy,DOI,AZ,Web page
Harold Washington Social Security Administration (SSA) Center Water Conservation and Green Energy,/node/759261,"Describes the success story on environmental stewardship and cost savings at the Harold Washington Social Security Administration (SSA) Center in Chicago, Illinois.",Energy Savings Performance Contracts; Distributed Energy,SSA,IL,Fact sheet
Hill Air Force Base,/node/725686,Energy savings performance contracting at Hill Air Force Base generated much interest during a recent training session on energy management that downlinked 12 DOD sites.,Energy Savings Performance Contracts,DOD,UT,Web page
Holistic Energy Management Yields Cost Savings and Resilience Benefits for the U.S. Coast Guard Academy,/node/4298562,"Fact sheet details the overdue overhaul of the U.S. Coast Guard’s third largest energy consumer, the 86-year-old Coast Guard Academy in New London, Connecticut. The overhaul was made possible by the largest utility energy service contract (UESC) in U.S. Department of Homeland Security history. ",Utility Energy Service Contracts,DHS,CT,Fact sheet
Honeywell Helps Deliver Resiliency and Cost Savings to Food and Drug Administration's White Oak Campus,/node/2730921,Describes the Food and Drug Administration's (FDA) multiphase energy savings performance contract project with Honeywell. ,Energy Savings Performance Contracts; Distributed Energy,DOC,MD,Web page
IRS Parking Facility Lighting Retrofit Reduces Annual Energy Use by 76%,/node/1016246,"Document provides an overview of how the Internal Revenue Service (IRS) and MC Realty Group, its property management firm, achieved a 76% reduction in lighting energy use at an IRS facility parking garage in Kansas City, Missouri.",Energy-Efficient Products and Technologies,IRS,MO,Fact sheet
Isle Royale National Park,/node/3674644,Describes an ESPC-funded sustainability and solar PV project including 91.8-kW and 42.1-kW PV arrays paired with diesel generators to handle seasonal loads.,Distributed Energy,DOI,MI,Web page
Kitchen Appliance Upgrades Improve Water Efficiency at U.S. Department of Defense Exchange Facilities,/node/757276,"Details DOD's Exchange, which took a leadership role in kitchen appliance upgrades to improve water efficiency by integrating water efficiency concepts into the organization's overall sustainability plan and objectives.",Water Management,DOD,TX,Fact sheet
Lake Mead National Recreation Area,/node/3674647,Details the PV system at the Alan Bible Visitor Center designed to handle 90% of power needs from April through October.,Distributed Energy,DOI,NV,Web page
LED Provides Effective and Efficient Parking Area Lighting at the NAVFAC Engineering Service Center,/node/796081,"Details new lighting technology that reduces energy consumption and reduces maintenance, while providing effective illumination.",Energy-Efficient Products and Technologies,NAVFAC,CA,Fact sheet
Leveraging Lighting for Energy Savings: GSA Northwest/Arctic Region,/node/1561466,Describes how the Northwest/Arctic Region branch of GSA improved safety and energy efficiency in its Fairbanks Federal Building parking garage.,Energy-Efficient Products and Technologies,GSA,AK,Fact sheet
Magnetic-Bearing Chiller Compressors,/node/1067151,Shows independent analysis by the U.S. Navy that verifies magnetic bearing compressors operate more efficiently than reciprocating and screw compressors.,Energy-Efficient Products and Technologies,DOD,CA; FL; RI,Web page
Marine Corps Base Camp Pendleton,/node/759266,Details how a comprehensive effort cut energy use by 44% at U.S. Marine Corps Base Camp Pendleton in California.,Energy Savings Performance Contracts; Distributed Energy,DOD,CA,Fact sheet
Marine Corps Base Quantico Achieves 85% Savings in Parking Lighting,/node/991356,Overview of how Marine Corps Base Quantico achieved 85% energy savings in parking lighting at one of its parking lots as part of a major overhaul of its outdoor lighting while boosting safety and security throughout the site.,Energy-Efficient Products and Technologies,DOD,VA,Fact sheet
Mesa Verde National Park,/node/3674650,"Details on-site renewable energy systems providing 95% of building energy requirements, and park staff plan to achieve net zero energy operations.",Distributed Energy,DOI,CO,Web page
Marine Corps Air Station (MCAS) Miramar,/node/4295694,Demonstrates the islanding capability of a 250-kW battery storage and 230-kW PV microgrid system at the installation’s Public Works building.,Distributed Energy,DOD,CA,Web page
Mojave National Preserve,/node/3674656,Details the 42-kW PV system (with 11-kWh batteries) that provided 100% of the power to the visitor center.,Distributed Energy,DOI,CA,Web page
NASA's Marshall Space Flight Center Improves Cooling System Performance,/node/757256,Details Marshall Space Flight Center's innovative technologies to improve water efficiency and cooling performance for one of its problematic cooling systems.,Water Management,NASA,AL,Fact sheet
NASA's Marshall Space Flight Center Saves Water with High-Efficiency Toilet and Urinal Program,/node/757106,"Details Marshall Space Flight Center's innovative replacement program for toilets and urinals by researching appropriate fixtures, demonstrating technologies, and creating specifications for high-efficiency fixtures.",Water Management,NASA,AL,Fact sheet
National Aeronautical and Space Administration Johnson Space Flight Center,/node/850221,"Describes how the National Aeronautics and Space Administration (NASA) will save approximately $43 million in facility operations costs over the next 23 years at the Johnson Space Flight Center in Houston, Texas.",Energy Savings Performance Contracts,NASA,TX,Web page
National Archives and Records Administration Archives II Building,/node/4295709,Describes a 500-kW rooftop PV and 225-kW cogeneration system that offsets energy consumption at NARA’s largest and most energy-intensive building.,Distributed Energy,NARA,MD,Web page
National Park Service Statue of Liberty National Monument,/node/850356,"Focuses on infrastructure improvements with the addition of energy-efficient lighting, variable-speed drives, and installation of energy management control systems.",Energy Savings Performance Contracts,DOI,NY,Web page
Natural Bridges National Monument,/node/3674659,"Describes the PV system providing 100% of the site’s power. The site was previously served by diesel generators, and fuel deliveries were very costly.",Distributed Energy,DOI,UT,Web page
Net Zero Pilot Program Lights the Path to Big Savings in Guam,/node/2129511,Describes how the Army Reserve 9th Mission Support Command reduced lighting energy consumption by replacing over 400 fluorescent troffers with LED troffers.,Energy-Efficient Products and Technologies,DOD,Guam,Fact sheet
New Carrollton Federal Building Lighting Retrofit Captures Cool Savings,/node/2316273,"Describes how the U.S. General Services Administration (GSA) cut its annual lighting electric bill by upgrading fluorescent lighting to a new LED troffer lighting and controls system in the New Carrollton Federal Building in Lanham, Maryland.",Energy-Efficient Products and Technologies,GSA,MD,Fact sheet
NSIDC Data Center: Energy Reduction Strategies,/node/757471,Describes the Green Data Center Project efforts to significantly reduce the energy use of the National Snow and Ice Data Center (NSIDC).,Data Centers,DOE,CO,Fact sheet
O&M Best Practices for Small-Scale Photovoltaic Systems Success Story,/node/1592546,Details how DOE FEMP training helped federal energy and facility management professionals complete successful photovoltaics projects.,Training; Distributed Energy,DOE,NC; PA,Video
Ravalli Electric Cooperative Teams up with Trapper Creek Job Corp to Create Impressive Energy Savings,/node/2244429,Describes how Ravalli Electric Cooperative helped the U.S. Department of Labor's (DOL) Trapper Creek Job Corp learn how to be more energy-efficient.,Utility Energy Service Contracts,DOL,MT,Fact sheet
"Reducing Data Center Loads for a Large-Scale, Net Zero Office Building",/node/757421,"Describes the design, implementation strategies, and continuous performance monitoring of the National Renewable Energy Laboratory's (NREL) Research Support Facility data center.",Data Centers,DOE,CO,Fact sheet
Retro-Commissioning Increases Data Center Efficiency at Low Cost,/node/728331,Discusses a successful retro-commissioning project at the U.S. Department of Energy's (DOE) Savannah River Site to increase data center energy efficiency at low costs.,Data Centers,DOE,SC,Fact sheet
Reverse Osmosis Optimization,/node/757281,Assesses techniques for optimizing reverse osmosis (RO) systems to increase RO system performance and water efficiency.,Water Management,DOE,NM; PA,Fact sheet
Rock the Watt: An Energy Conservation Campaign at Pacific Northwest National Lab,/node/1544951,"Describes Pacific Northwest National Laboratory's three-month Rock the Watt campaign to reduce energy use at its main campus in Richland, Washington.",Institutional Change,DOE,WA,Fact sheet
Santa Monica Mountains National Recreation Area,/node/3674284,"Details how a geothermal cooling system providing about 80% of hot water needs, and a back-up system is powered by the solar PV carports.",Distributed Energy,DOI,CA,Web page
Thomas E. Creek Medical Center,/node/4295706,Describes a 2.28-MW PV covered parking project at the Thomas E. Creek VA Medical Center that provides about 30% of the center’s electricity.,Distributed Energy,VA,TX,Web page
U.S. Army Reserve 88th Readiness Division Finds Big Savings,/node/3340310,"Features the U.S. Army Reserve 88th Readiness Division, which was recognized in two 2017 Interior Lighting Campaign exemplary recognition categories.",Energy-Efficient Products and Technologies,DOD,IL; MI; OH,Fact sheet
U.S. Coast Guard and Florida Power and Light Successfully Implement a Multi-Site UESC Project,/node/760571,Details a multi-site utility energy service contract project between the United States Coast Guard and Florida Power and Light.,Utility Energy Service Contracts,DHS,FL,Fact sheet
U.S. Coast Guard Yard Analysis of Microgrid to Reduce Onsite Generation Curtailment,/node/3975336,Fact sheet details the U.S. Coast Guard Yard energy savings performance contract project to install four 1-MW reciprocating generators that ran off landfill gas.,Resilience Planning; Distributed Energy,DOD,MD,Fact sheet
"U.S. Coast Guard, Kodiak Island, Alaska",/node/725691,"Describes how the Coast Guard is saving more than $220,000 a year in energy costs at its facility at Kodiak Island, Alaska.",Energy Savings Performance Contracts,DHS,AK,Web page
U.S. Department of Energy Fermi National Accelerator Laboratory,/node/1660791,Describes how DOE's Fermilab upgraded the centralized cooling system and separated the system into two segments.,Utility Energy Service Contracts,DOE,IL,Web page
U.S. Department of Energy Headquarters Lighting Retrofit,/node/3340303,"Describes an energy savings performance contract lighting upgrade project at the James Forrestal Building, which serves as headquarters for the U.S. Department of Energy in Washington, D.C.",Energy-Efficient Products and Technologies,DOE,DC,Fact sheet
U.S. Department of Energy Pantex Plant,/node/848146,Details DOE Pantex Plant's savings of approximately $10.4 million in energy-related costs over 18 years.,Energy Savings Performance Contracts; Distributed Energy,DOE,TX,Web page
U.S. Department of the Interior Bureau of Indian Affairs Sherman Indian School,/node/848326,"Details how DOI's Bureau of Indian Affairs reduced energy costs by replacing inefficient lighting and aging building equipment, and installing renewable energy systems without huge budget increases.",Energy Savings Performance Contracts; Distributed Energy,DOI,CA,Web page
U.S. Fish and Wildlife Service Moves Toward Net-Zero Buildings,/node/759416,Overview of the U.S. Fish and Wildlife Service (USFW) net-zero energy visitor's center at the Assabet River National Wildlife.,Awards; Distributed Energy,DOI,MA,Fact sheet
